Date,Canada
2005.00,72.5
2005.25,72.3
2005.50,72.4
2005.75,72.5
2006.00,72.7
2006.25,73
2006.50,72.9
2006.75,72.9
2007.00,73.3
2007.25,73.3
2007.50,73.6
2007.75,73.7
2008.00,73.7
2008.25,73.6
2008.50,73.3
2008.75,73.2
2009.00,72.1
2009.25,71.5
2009.50,71.1
2009.75,71.3
2010.00,71.4
2010.25,71.6
2010.50,71.6
2010.75,71.7
2011.00,72
2011.25,71.9
2011.50,72.1
2011.75,71.9
2012.00,72
2012.25,72.3
2012.50,72.4
2012.75,72.7
2013.00,72.8
2013.25,72.8
2013.50,72.6
2013.75,72.5
2014.00,72.4
2014.25,72.3
2014.50,72.4
2014.75,72.7
2015.00,72.8
2015.25,72.7
2015.50,72.8
2015.75,72.6
2016.00,72.6
2016.25,72.7
2016.50,72.6
2016.75,72.9
2017.00,73.4
2017.25,73.5
2017.50,73.6
2017.75,73.9
2018.00,73.9
2018.25,73.8
2018.50,74.2
2018.75,74.4
2019.00,74.4
2019.25,74.8
2019.50,74.7
2019.75,74.6
2020.00,73.1
2020.25,64.6
2020.50,70.5
2020.75,72.3
2021.00,72.1
2021.25,72.6
2021.50,74.1
2021.75,75.2
2022.00,75.2
2022.25,75.8
2022.50,75.6
2022.75,75.8
2023.00,76.2
2023.25,76
2023.50,75.7
2023.75,75.4
2024.00,75
2024.25,74.8
2024.50,74.2
