Date,New Zealand
2005.00,73.7
2005.25,73.8
2005.50,74.6
2005.75,74.7
2006.00,74.8
2006.25,75.1
2006.50,74.7
2006.75,74.4
2007.00,75.0
2007.25,75.2
2007.50,74.9
2007.75,75.3
2008.00,73.8
2008.25,74.9
2008.50,74.7
2008.75,74.7
2009.00,73.3
2009.25,73.2
2009.50,72.2
2009.75,72.2
2010.00,72.2
2010.25,72.0
2010.50,72.3
2010.75,72.0
2011.00,72.4
2011.25,72.5
2011.50,72.4
2011.75,72.4
2012.00,72.5
2012.25,72.3
2012.50,71.8
2012.75,70.9
2013.00,72.1
2013.25,72.4
2013.50,72.9
2013.75,73.5
2014.00,74.0
2014.25,73.9
2014.50,74.1
2014.75,74.7
2015.00,74.8
2015.25,74.5
2015.50,73.6
2015.75,74.2
2016.00,74.6
2016.25,75.6
2016.50,75.8
2016.75,76.3
2017.00,76.8
2017.25,76.2
2017.50,77.1
2017.75,77.5
2018.00,77.6
2018.25,77.6
2018.50,78.0
2018.75,76.9
2019.00,77.5
2019.25,77.6
2019.50,77.5
2019.75,77.3
2020.00,77.7
2020.25,76.8
2020.50,76.1
2020.75,76.5
2021.00,77.1
2021.25,77.8
2021.50,79.1
2021.75,79.2
2022.00,79.1
2022.25,79.2
2022.50,80.2
2022.75,80.2
2023.00,80.4
2023.25,80.4
2023.50,79.9
2023.75,79.8
2024.00,79.1
2024.25,78.9
2024.50,78.4
