Date,Date,"United Kingdom [note 1, 2]"
2005 Q1,2005.00,73.1
2005 Q2,2005.25,72.9
2005 Q3,2005.50,73
2005 Q4,2005.75,72.7
2006 Q1,2006.00,72.9
2006 Q2,2006.25,72.8
2006 Q3,2006.50,72.8
2006 Q4,2006.75,72.7
2007 Q1,2007.00,72.5
2007 Q2,2007.25,72.6
2007 Q3,2007.50,72.7
2007 Q4,2007.75,72.9
2008 Q1,2008.00,73
2008 Q2,2008.25,72.9
2008 Q3,2008.50,72.4
2008 Q4,2008.75,72.2
2009 Q1,2009.00,71.7
2009 Q2,2009.25,70.8
2009 Q3,2009.50,70.6
2009 Q4,2009.75,70.6
2010 Q1,2010.00,70.2
2010 Q2,2010.25,70.4
2010 Q3,2010.50,70.7
2010 Q4,2010.75,70.4
2011 Q1,2011.00,70.5
2011 Q2,2011.25,70.5
2011 Q3,2011.50,70.1
2011 Q4,2011.75,70.2
2012 Q1,2012.00,70.5
2012 Q2,2012.25,70.9
2012 Q3,2012.50,71.1
2012 Q4,2012.75,71.4
2013 Q1,2013.00,71.1
2013 Q2,2013.25,71.3
2013 Q3,2013.50,71.6
2013 Q4,2013.75,71.9
2014 Q1,2014.00,72.4
2014 Q2,2014.25,72.7
2014 Q3,2014.50,72.9
2014 Q4,2014.75,73.1
2015 Q1,2015.00,73.3
2015 Q2,2015.25,73.3
2015 Q3,2015.50,73.6
2015 Q4,2015.75,74
2016 Q1,2016.00,74
2016 Q2,2016.25,74.2
2016 Q3,2016.50,74.3
2016 Q4,2016.75,74.4
2017 Q1,2017.00,74.6
2017 Q2,2017.25,74.9
2017 Q3,2017.50,74.8
2017 Q4,2017.75,74.9
2018 Q1,2018.00,75.3
2018 Q2,2018.25,75.3
2018 Q3,2018.50,75.3
2018 Q4,2018.75,75.5
2019 Q1,2019.00,75.7
2019 Q2,2019.25,75.8
2019 Q3,2019.50,75.7
2019 Q4,2019.75,76.1
2020 Q1,2020.00,75.9
2020 Q2,2020.25,75.3
2020 Q3,2020.50,74.5
2020 Q4,2020.75,74.2
2021 Q1,2021.00,74.2
2021 Q2,2021.25,74.6
2021 Q3,2021.50,74.9
2021 Q4,2021.75,75
2022 Q1,2022.00,75.1
2022 Q2,2022.25,75
2022 Q3,2022.50,75
2022 Q4,2022.75,75.2
2023 Q1,2023.00,75.3
2023 Q2,2023.25,75.2
2023 Q3,2023.50,74.8
2023 Q4,2023.75,75
2024 Q1,2024.00,74.5
2024 Q2,2024.25,74.5
2024 Q3,2024.50,74.8
