yyyy,mm,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours)
2000,1,8.1,2.0,9,19.8,82.1
2000,2,10.2,3.8,3,78.3,104.9
2000,3,11.7,4.2,2,11.9,112.6
2000,4,12.4,4.8,2,137.2,143.4
2000,5,17.2,8.6,0,67.7,189.8
2000,6,20.5,12.2,0,19.4,164.6
2000,7,20.8,12.3,0,28.5,161.2
2000,8,22.7,13.3,0,58.3,209.4
2000,9,19.2,12.1,0,87.2,126.1
2000,10,14.3,8.2,0,119.5,83.9
2000,11,10.6,4.8,0,99.1,69.2
2000,12,8.6,4.2,7,99.8,51.9
2001,1,6.4,1.2,13,57.4,83.3
2001,2,8.8,2.0,10,68.6,85.0
2001,3,9.0,3.1,5,75.1,74.1
2001,4,12.9,4.8,0,72.7,148.2
2001,5,18.5,7.9,0,35.5,198.3
2001,6,20.7,10.6,0,23.1,226.8
2001,7,23.4,13.4,0,57.2,206.1
2001,8,22.7,12.9,0,92.0,184.1
2001,9,17.9,10.5,0,35.0,123.0
2001,10,17.0,11.1,0,92.4,100.9
2001,11,11.2,3.9,5,38.5,86.9
2001,12,6.8,0.2,17,29.5,79.2
2002,1,9.2,3.4,5,57.4,44.4
2002,2,11.1,4.4,3,70.9,80.5
2002,3,12.4,4.6,3,33.0,101.1
2002,4,15.2,5.2,0,43.0,210.0
2002,5,16.8,8.4,0,58.3,177.5
2002,6,20.0,10.3,0,42.4,163.3
2002,7,22.1,12.0,0,89.6,178.8
2002,8,22.8,12.9,0,53.2,166.2
2002,9,19.7,10.0,0,24.8,167.1
2002,10,14.8,7.1,1,109.4,104.8
2002,11,11.8,6.4,0,133.4,52.3
2002,12,8.9,4.1,4,98.1,41.3
2003,1,7.6,1.8,11,81.4,87.7
2003,2,8.4,0.6,15,17.3,94.4
2003,3,13.3,2.7,8,25.2,154.8
2003,4,15.3,4.6,5,36.8,169.8
2003,5,17.5,8.1,0,48.1,191.2
2003,6,22.4,11.8,0,55.5,213.6
2003,7,23.7,13.4,0,53.8,192.0
2003,8,25.5,13.5,0,3.0,228.4
2003,9,21.3,8.1,0,17.4,175.3
2003,10,14.0,3.9,5,31.7,134.8
2003,11,12.0,5.7,1,89.6,78.9
2003,12,8.7,1.8,10,70.7,53.6
2004,1,8.8,2.7,9,66.1,62.7
2004,2,8.7,2.9,11,25.5,79.1
2004,3,10.9,3.4,2,51.8,101.5
2004,4,14.7,6.2,0,68.8,150.3
2004,5,18.0,8.6,0,41.1,195.5
2004,6,21.8,12.0,0,23.8,223.6
2004,7,22.0,12.2,0,83.1,169.5
2004,8,23.4,14.2,0,135.0,194.1
2004,9,20.1,11.7,0,28.9,174.4
2004,10,14.7,8.6,0,131.4,102.4
2004,11,10.9,5.8,1,34.2,52.4
2004,12,8.6,2.8,6,37.7,58.3
2005,1,9.4,3.8,2,18.2,65.4
2005,2,7.3,2.1,10,20.0,66.3
2005,3,11.2,4.7,6,44.5,79.3
2005,4,14.3,5.7,1,50.2,136.3
2005,5,17.2,7.6,0,31.5,226.4
2005,6,21.6,12.0,0,93.4,177.6
2005,7,22.3,13.4,0,34.9,192.0
2005,8,23.1,12.2,0,31.3,235.7
2005,9,20.9,11.9,0,38.5,155.4
2005,10,17.1,10.9,0,53.4,92.0
2005,11,9.9,3.1,11,38.6,88.0
2005,12,7.7,1.8,11,50.2,55.7
2006,1,7.2,2.2,8,16.6,54.9
2006,2,6.6,0.8,12,33.0,73.1
2006,3,9.2,2.0,10,59.3,95.5
2006,4,13.9,5.4,2,36.3,152.5
2006,5,17.6,9.0,0,104.7,165.7
2006,6,23.1,11.7,0,5.3,246.2
2006,7,27.1,14.9,0,87.3,303.7
2006,8,21.8,13.1,0,58.7,167.2
2006,9,22.1,13.5,0,90.8,156.5
2006,10,17.2,10.6,0,118.0,109.0
2006,11,12.1,5.1,4,86.4,101.2
2006,12,9.4,4.3,6,68.7,42.7
2007,1,10.4,4.8,4,73.3,79.8
